state,date,confirmed_sum,deaths_sum
Alabama,2020-07-14,57255,1164
Alaska,2020-07-14,1579,17
Arizona,2020-07-14,128097,2337
Arkansas,2020-07-14,29812,331
California,2020-07-14,346211,7250
Colorado,2020-07-14,37668,1738
Connecticut,2020-07-14,47530,4372
Delaware,2020-07-14,12969,518
Florida,2020-07-14,291629,4409
Georgia,2020-07-14,123963,3054
Hawaii,2020-07-14,1264,22
Idaho,2020-07-14,11720,103
Illinois,2020-07-14,156638,7419
Indiana,2020-07-14,52685,2775
Iowa,2020-07-14,35866,757
Kansas,2020-07-14,19887,299
Kentucky,2020-07-14,20223,635
Louisiana,2020-07-14,82042,3445
Maine,2020-07-14,3566,114
Maryland,2020-07-14,74260,3334
Massachusetts,2020-07-14,112130,8340
Michigan,2020-07-14,77864,6326
Minnesota,2020-07-14,43170,1548
Mississippi,2020-07-14,37542,1272
Missouri,2020-07-14,29240,1114
Montana,2020-07-14,1952,34
Nebraska,2020-07-14,21717,286
Nevada,2020-07-14,29619,612
New Hampshire,2020-07-14,6091,392
New Jersey,2020-07-14,175915,15582
New Mexico,2020-07-14,15514,551
New York,2020-07-14,403175,32408
North Carolina,2020-07-14,90000,1571
North Dakota,2020-07-14,4493,88
Ohio,2020-07-14,67995,3069
Oklahoma,2020-07-14,21740,428
Oregon,2020-07-14,12805,244
Pennsylvania,2020-07-14,101266,6931
Rhode Island,2020-07-14,17588,985
South Carolina,2020-07-14,60389,993
South Dakota,2020-07-14,7572,109
Tennessee,2020-07-14,66788,767
Texas,2020-07-14,279577,3362
Utah,2020-07-14,30478,226
Vermont,2020-07-14,1305,56
Virginia,2020-07-14,72443,1977
Washington,2020-07-14,42304,1404
West Virginia,2020-07-14,4407,97
Wisconsin,2020-07-14,37906,826
Wyoming,2020-07-14,1950,22
