name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species
Watto,137,NA,black,"blue, grey",yellow,NA,male,Toydaria,Toydarian
Bossk,190,113,none,green,red,53,male,Trandosha,Trandoshan
Darth Maul,175,80,none,red,yellow,54,male,Dathomir,Zabrak
Saesee Tiin,188,NA,none,pale,orange,NA,male,Iktotch,Iktotchi
Finn,NA,NA,black,dark,dark,NA,male,NA,Human
R2-D2,96,32,NA,"white, blue",red,33,NA,Naboo,Droid
Mace Windu,188,84,none,dark,brown,72,male,Haruun Kal,Human
Wat Tambor,193,48,none,"green, grey",unknown,NA,male,Skako,Skakoan
Finis Valorum,170,NA,blond,fair,blue,91,male,Coruscant,Human
Lama Su,229,88,none,grey,black,NA,male,Kamino,Kaminoan
Luminara Unduli,170,56.2,black,yellow,blue,58,female,Mirial,Mirialan
Rey,NA,NA,brown,light,hazel,NA,female,NA,Human
R4-P17,96,NA,none,"silver, red","red, blue",NA,female,NA,NA
Qui-Gon Jinn,193,89,brown,fair,blue,92,male,NA,Human
Sly Moore,178,48,none,pale,white,NA,female,Umbara,NA
Palpatine,170,75,grey,pale,yellow,82,male,Naboo,Human
Owen Lars,178,120,"brown, grey",light,blue,52,male,Tatooine,Human
Luke Skywalker,172,77,blond,fair,blue,19,male,Tatooine,Human
Jek Tono Porkins,180,110,brown,fair,blue,NA,male,Bestine IV,Human
R5-D4,97,32,NA,"white, red",red,NA,NA,Tatooine,Droid
Ric Olié,183,NA,brown,fair,blue,NA,male,Naboo,NA
Chewbacca,228,112,brown,unknown,blue,200,male,Kashyyyk,Wookiee
Wedge Antilles,170,77,brown,fair,hazel,21,male,Corellia,Human
Adi Gallia,184,50,none,dark,blue,NA,female,Coruscant,Tholothian
Wilhuff Tarkin,180,NA,"auburn, grey",fair,blue,64,male,Eriadu,Human
Gregar Typho,185,85,black,dark,brown,NA,male,Naboo,Human
Shaak Ti,178,57,none,"red, blue, white",black,NA,female,Shili,Togruta
Ackbar,180,83,none,brown mottle,orange,41,male,Mon Cala,Mon Calamari
Ayla Secura,178,55,none,blue,hazel,48,female,Ryloth,Twi'lek
Bib Fortuna,180,NA,none,pale,pink,NA,male,Ryloth,Twi'lek
Dooku,193,80,white,fair,brown,102,male,Serenno,Human
Captain Phasma,NA,NA,unknown,unknown,unknown,NA,female,NA,NA
Mon Mothma,150,NA,auburn,fair,blue,48,female,Chandrila,Human
Jocasta Nu,167,NA,white,fair,blue,NA,female,Coruscant,Human
IG-88,200,140,none,metal,red,15,none,NA,Droid
Beru Whitesun lars,165,75,brown,light,blue,47,female,Tatooine,Human
Raymus Antilles,188,79,brown,light,brown,NA,male,Alderaan,Human
Ratts Tyerell,79,15,none,"grey, blue",unknown,NA,male,Aleen Minor,Aleena
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57,male,Stewjon,Human
Kit Fisto,196,87,none,green,black,NA,male,Glee Anselm,Nautolan
Nien Nunb,160,68,none,grey,black,NA,male,Sullust,Sullustan
Dormé,165,NA,brown,light,brown,NA,female,Naboo,Human
San Hill,191,NA,none,grey,gold,NA,male,Muunilinst,Muun
Poggle the Lesser,183,80,none,green,yellow,NA,male,Geonosis,Geonosian
Cordé,157,NA,brown,light,brown,NA,female,Naboo,Human
Darth Vader,202,136,none,white,yellow,41.9,male,Tatooine,Human
Taun We,213,NA,none,grey,black,NA,female,Kamino,Kaminoan
Tarfful,234,136,brown,brown,blue,NA,male,Kashyyyk,Wookiee
Plo Koon,188,80,none,orange,black,22,male,Dorin,Kel Dor
Barriss Offee,166,50,black,yellow,blue,40,female,Mirial,Mirialan
